"Read Details",Lisätietoja,module,Magento_AdminNotification
"Mark as Read","Merkitse luetuksi",module,Magento_AdminNotification
"Are you sure?","Oletko varma?",module,Magento_AdminNotification
Remove,Poista,module,Magento_AdminNotification
"Messages Inbox",Saapuneet-kansio,module,Magento_AdminNotification
"You have %1 new system messages","Sinulla on %1 uutta järjestelmäviesti(ä)",module,Magento_AdminNotification
"You have %1 new system message","Sinulla on %1 uusi järjestelmäviesti",module,Magento_AdminNotification
"Incoming Message","Saapuva viesti",module,Magento_AdminNotification
close,sulje,module,Magento_AdminNotification
Notifications,Ilmoitukset,module,Magento_AdminNotification
"The message has been marked as Read.","Viesti on merkitty luetuksi.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Ilmoitusta ei voitu merkitä luetuksi virheen vuoksi.",module,Magento_AdminNotification
"Please select messages.","Valitse viestit.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Yhteensä %1 tietue(tta) on merkitty luetuksi.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Yhteensä %1 tietue(tta) on poistettu.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Viestejä ei voitu poistaa virheen vuoksi.",module,Magento_AdminNotification
"The message has been removed.","Viesti on poistettu.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Voit katsella ja ratkaista kaikki viimeisimmät järjestelmän ilmoitukset. Päivitä web-sivun Poista ilmoitus-ilmoitus.",module,Magento_AdminNotification
"1 Hour","1 tunti",module,Magento_AdminNotification
"2 Hours","2 tuntia",module,Magento_AdminNotification
"6 Hours","6 tuntia",module,Magento_AdminNotification
"12 Hours","12 tuntia",module,Magento_AdminNotification
"24 Hours","24 tuntia",module,Magento_AdminNotification
critical,kriittinen,module,Magento_AdminNotification
major,merkittävä,module,Magento_AdminNotification
minor,vähäinen,module,Magento_AdminNotification
notice,ilmoitus,module,Magento_AdminNotification
"Wrong message type","Väärä viestityyppi",module,Magento_AdminNotification
"Wrong notification ID specified.","Väärä ilmoitustunnus määritetty.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-esittämiseksi. Suosittelemme voimakkaasti tämän arvon vaihtamista Magenton <a href=""%1"">kokoonpanossa</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Yksi tai useampi välimuistityyppi vaatii virkistämisen: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ole hyvä ja siirry <a href=""%1"">Välimuistin hallintaan</a> ja tyhjennä välimuistityypit.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Yhtä tai useampaa media-tiedostoa ei voida synkronoida. Katso lisätietoja lokitiedostosta.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Mediasäilöjen synkronointi on suoritettu.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web-palvelin on määritetty väärin ja mahdollistaa luvattoman pääsyn arkaluontoisiin tiedostoihin. Ota yhteyttä palveluntarjoajaasi.",module,Magento_AdminNotification
"System Messages:",Järjestelmäviestit:,module,Magento_AdminNotification
"Critical System Messages","Kriittiset järjestelmäviestit",module,Magento_AdminNotification
"Major System Messages","Merkittävät järjestelmäviestit",module,Magento_AdminNotification
"System messages",Järjestelmäviestit,module,Magento_AdminNotification
Close,Sulje,module,Magento_AdminNotification
"See All (","Katso kaikki (",module,Magento_AdminNotification
" unread)"," lukematta)",module,Magento_AdminNotification
"Please correct the data sent.","Ole hyvä ja korjaa lähetetty tieto.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Entiteetin tyyppimallia '%1' ei löydy",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteetin tyyppimallin on oltava \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType instanssi",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Vietäviä tuotetyyppejä ei ole saatavilla",module,Magento_AdvancedPricingImportExport
"Related Search Terms","Liittyviä hakutermejä",module,Magento_AdvancedSearch
"Add New Search Term","Lisää uusi hakutermi",module,Magento_AdvancedSearch
"Missing search engine parameter.","Hakumoottorin parametri puuttuu.",module,Magento_AdvancedSearch
"Successful! Test again?","Onnistui! Testaa uudelleen?",module,Magento_AdvancedSearch
"Connection failed! Test again?","Yhteys epäonnistui! Testaa uudelleen?",module,Magento_AdvancedSearch
"Subscription status","Tilauksen tila",module,Magento_Analytics
"Sorry, there has been an error processing your request. Please try again later.","Valitettavasti tapahtui virhe käsiteltäessä pyyntöä. Yritä myöhemmin uudelleen.",module,Magento_Analytics
"Cron settings can't be saved","Cron asetuksia ei voida tallentaa",module,Magento_Analytics
"There was an error save new configuration value.","Tapahtui virhe tallennettaessa uutta konfiguraation arvoa.",module,Magento_Analytics
"--Please Select--",---Valitse---,module,Magento_Analytics
"Command was not found.","Komentoa ei löydy.",module,Magento_Analytics
"These arguments can't be empty ""%1""","Nämä argumentit eivät olla tyhjiä ""%1""",module,Magento_Analytics
"Cannot find predefined integration user!","Etukäteen määritettyä integrointikäyttäjää ei löydy!",module,Magento_Analytics
"File is not ready yet.","Tiedosto ei ole valmis vielä.",module,Magento_Analytics
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Sinun URL on muuttunut ja raportteja päivitetään. Editynyt raportointi on saatavilla tämän prosessin päätyttyä. Yritä uudelleen myöhemmin.",module,Magento_Analytics
"Failed to synchronize data to the Magento Business Intelligence service. ","Tietojen synkronointi epäonnistui Magento Business Intelligence palvelun välillä. ",module,Magento_Analytics
TestMessage,TestiViesti,module,Magento_Analytics
"Apps and Games","Sovellukset ja pelit",module,Magento_Analytics
"Athletic/Sporting Goods",Urheilutarvikkeet,module,Magento_Analytics
"Art and Design","Taide ja design",module,Magento_Analytics
"Advanced Reporting","Edistynyt raportointi",module,Magento_Analytics
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Hanki uusia näkemyksiä ja hallitse liiketoiminnan tehokkuutta dynaamisella tuotteellasi, tilauksillasi ja asiakastileillesi, jotka on räätälöity asiakastietosi mukaan.",module,Magento_Analytics
"Go to Advanced Reporting","Mene Edistyneeseen raportointiin",module,Magento_Analytics
Back,Takaisin,module,Magento_AsynchronousOperations
Done,Valmis,module,Magento_AsynchronousOperations
Retry,"Yritä uudelleen",module,Magento_AsynchronousOperations
"'Action Details - #' .","'Toiminnon tiedot - #'.",module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.""","%1 tuoteille on ajoitettu päivitys ”",module,Magento_AsynchronousOperations
"Bulk Actions Log",Massatapahtumaloki,module,Magento_AsynchronousOperations
"%1 item(s) are currently being updated.","%1 tuotetta päivitetään parhaillaan.",module,Magento_AsynchronousOperations
"Task ""%1"": ","Tehtävä ""%1"": ",module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.","%1 tuotetta on ajoitettu päivitys.",module,Magento_AsynchronousOperations
"%1 item(s) have been successfully updated.","%1 tuotetta on päivitetty.",module,Magento_AsynchronousOperations
"%1 item(s) failed to update","%1 tuotetta ei voitu päivittää",module,Magento_AsynchronousOperations
Details,Tiedot,module,Magento_AsynchronousOperations
"View Details","Näytä yksityiskohdat",module,Magento_AsynchronousOperations
Dismiss,Ohita,module,Magento_AsynchronousOperations
"Pending, in queue...","Vireillä, jonossa...",module,Magento_AsynchronousOperations
